weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,cloud_cover_mean,cloud_cover_max,cloud_cover_min,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,et0_fao_evapotranspiration_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,pressure_msl_mean,pressure_msl_max,pressure_msl_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min,winddirection_10m_dominant,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,vapour_pressure_deficit_max,soil_moisture_0_to_100cm_mean,soil_moisture_0_to_7cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_100cm_mean,soil_temperature_0_to_7cm_mean,soil_temperature_28_to_100cm_mean,soil_temperature_7_to_28cm_mean
61,26.136503,30.674002,22.324001,31.20154,36.414883,26.657255,41410.133,37128.84,3.6000001,3.6000001,5.0,7.6367526,38.519997,68.198524,18.4,3.7644882,68.833336,100.0,21.0,22.921919,24.224,21.974,3.7644882,83.78655,97.89384,60.190044,1009.35004,1011.0,1007.0,1008.65894,1010.30914,1006.32043,68.198524,15.285001,4.139157,5.04,1.08,23.828972,25.017908,22.078316,1.7540023,0.3939675,0.22487499,0.4189168,0.3647916,26.636873,28.480247,26.173998,27.609415
51,26.232336,30.574001,22.524,31.003428,35.509396,26.71591,41418.68,37241.055,0.1,0.1,1.0,5.95906,28.8,74.1198,18.53,3.7663896,72.875,100.0,19.0,22.476082,23.774,21.474,3.7663896,81.21357,95.83276,58.703453,1009.24164,1011.4,1006.8,1008.5508,1010.707,1006.1208,74.1198,12.09,4.135929,5.3999996,0.8049845,23.552729,24.326857,21.935839,1.8040831,0.3931171,0.23845835,0.41737497,0.36150002,26.854609,28.459417,26.407333,27.853167
51,26.351084,30.724,22.424002,31.114206,35.26367,26.825724,41428.082,36275.39,0.1,0.1,1.0,7.69592,34.92,101.0295,18.16,3.740827,66.208336,95.0,6.0,22.674002,23.324001,22.074001,3.740827,81.6253,99.393776,60.569138,1008.99176,1011.1,1006.8,1008.3013,1010.41125,1006.1208,101.0295,14.804999,4.805596,6.12,1.4399999,23.72155,24.740885,22.37296,1.7422357,0.3900179,0.22366667,0.41554162,0.3579583,27.014732,28.484415,26.611502,27.907333
53,26.736498,31.124,23.574001,31.851967,37.03127,28.024712,41438.312,37407.688,0.7,0.7,1.0,8.287822,36.36,95.30726,18.6,3.8168383,62.666668,98.0,3.0,23.063583,24.024,22.324001,3.8168383,81.24676,95.32087,62.292168,1009.05835,1010.9,1006.8,1008.36884,1010.21277,1006.1183,95.30726,14.73,4.2156835,4.32,0.8049845,24.075874,25.395857,22.685713,1.7023673,0.38771832,0.21795833,0.413875,0.35462502,27.220648,28.882334,26.801086,28.10525
53,26.4365,30.724,23.424002,31.569542,36.619522,28.883045,41449.35,36578.19,1.4000001,1.4000001,2.0,8.404285,27.72,137.10553,18.1,3.753425,62.041668,100.0,11.0,23.071915,23.974,21.974,3.753425,83.17376,99.698746,60.018265,1009.91254,1012.0,1007.8,1009.22174,1011.3122,1007.11566,137.10553,12.749999,4.03018,4.32,1.1384199,24.029022,24.956682,23.418842,1.7666004,0.38667503,0.22537506,0.4124584,0.3520416,27.413689,28.936495,26.988577,28.363586
55,26.184418,30.524,22.774,30.90856,35.466457,27.087183,41461.18,36998.35,1.8000001,1.8000001,5.0,7.9932976,20.16,124.06095,18.36,3.7454305,64.5,100.0,3.0,22.728165,23.424002,21.524,3.7454305,82.54278,97.304276,58.703453,1010.0999,1012.0,1008.0,1009.4085,1011.3128,1007.31683,124.06095,13.875,5.220929,7.92,2.2768397,23.70358,24.796135,22.45323,1.8040831,0.38549748,0.23249997,0.41075003,0.34991667,27.494123,28.6615,27.153166,28.273996
53,26.013582,30.324001,23.374,30.892485,35.91789,28.229397,41473.777,37178.914,0.7,0.7,2.0,7.653705,23.039999,126.2826,16.34,3.3449402,77.0,100.0,29.0,22.892746,23.824001,21.624,3.3449402,83.841545,97.90865,61.034985,1010.49994,1012.7,1008.3,1009.80786,1012.0076,1007.61914,126.2826,13.1849985,4.3945045,5.04,2.5959969,23.755976,25.312937,23.051975,1.6828144,0.385283,0.24641664,0.40950003,0.34854165,27.55494,28.417753,27.284409,28.194834
3,25.921915,30.124,22.624,30.04863,34.59943,26.838537,41487.113,36000.0,0.0,0.0,0.0,11.592895,21.599998,107.10278,15.67,3.3842936,95.125,100.0,73.0,22.051085,23.024,20.724,3.3842936,80.71073,99.39466,58.610317,1010.425,1012.4,1008.0,1009.7327,1011.7069,1007.3184,107.10278,14.325001,6.0224853,4.68,2.0991426,23.176878,24.037695,21.517437,1.7673261,0.3833971,0.23670828,0.40824994,0.34708342,27.553732,27.971914,27.384415,27.994833
3,25.801085,30.874,21.724,29.469046,36.132263,24.992535,41501.17,33961.72,0.0,0.0,0.0,9.83268,19.08,128.30464,19.77,4.212404,84.375,100.0,1.0,20.723999,21.324001,20.274,4.212404,74.89222,92.0572,54.11218,1010.4041,1012.8,1007.9,1009.7115,1012.10565,1007.2201,128.30464,13.605,5.742643,8.64,2.3051248,22.227728,23.994156,20.656706,2.0452542,0.3802079,0.21466671,0.4065834,0.34495828,27.58098,28.221916,27.43442,27.869833
3,26.61358,31.474,22.574001,30.417067,35.468952,26.2455,41515.92,37770.67,0.0,0.0,0.0,10.661107,24.84,105.642334,20.01,4.2920084,88.25,100.0,36.0,21.271915,22.324001,19.874,4.2920084,74.26897,93.80001,50.377274,1009.79175,1011.7,1007.8,1009.1014,1011.0087,1007.1208,105.642334,15.120002,6.6429954,7.92,4.896529,22.868803,23.880508,21.77454,2.2820764,0.37703338,0.1923333,0.40520844,0.342,27.706167,28.734419,27.48858,28.109413
